,Total_counts,X,Y,label,region,Region,ground_truth,x,y
Cell_576,554,10758.184289426345,-2600.2797821307213,L2/3,L2/3,L2/3,L2/3,10758.184289426345,-2600.2797821307213
Cell_577,637,12354.714457624204,-2600.379061371841,L1,L1,L1,L1,12354.714457624204,-2600.379061371841
Cell_578,321,3543.3048075567463,-2602.215423657127,L6,L6,L6,L6,3543.3048075567463,-2602.215423657127
Cell_580,648,11423.227783415483,-2617.730719049,L2/3,L2/3,L2/3,L2/3,11423.227783415483,-2617.730719049
Cell_581,347,4380.546015770907,-2625.934426229508,L6,L6,L6,L6,4380.546015770907,-2625.934426229508
Cell_582,474,8859.519299087855,-2609.6089294287085,L4,L4,L4,L4,8859.519299087855,-2609.6089294287085
Cell_584,552,11070.157117198025,-2634.4453075886845,L2/3,L2/3,L2/3,L2/3,11070.157117198025,-2634.4453075886845
Cell_585,831,12081.764841321616,-2619.7217851797845,L2/3,L2/3,L2/3,L2/3,12081.764841321616,-2619.7217851797845
Cell_588,247,8246.641001506025,-2650.385604919679,L4,L4,L4,L4,8246.641001506025,-2650.385604919679
Cell_589,657,8470.13893025315,-2634.5527025395418,L4,L4,L4,L4,8470.13893025315,-2634.5527025395418
Cell_591,537,6267.937185804589,-2662.7124583146688,L5,L5,L5,L5,6267.937185804589,-2662.7124583146688
Cell_592,248,6510.625669045496,-2635.121041480821,L5,L5,L5,L5,6510.625669045496,-2635.121041480821
Cell_593,228,7153.1762709467575,-2640.240330905749,L5,L5,L5,L5,7153.1762709467575,-2640.240330905749
Cell_594,307,12681.634820112464,-2654.794944586996,L1,L1,L1,L1,12681.634820112464,-2654.794944586996
Cell_595,281,8105.333286739353,-2696.457459696207,L4,L4,L4,L4,8105.333286739353,-2696.457459696207
Cell_596,904,7388.5661657189285,-2676.173517465475,L4,L4,L4,L4,7388.5661657189285,-2676.173517465475
Cell_597,384,3604.544609213565,-2686.614136380212,L6,L6,L6,L6,3604.544609213565,-2686.614136380212
Cell_599,666,10480.248647384944,-2700.224667690869,L2/3,L2/3,L2/3,L2/3,10480.248647384944,-2700.224667690869
Cell_600,545,12540.942860037483,-2688.598348614559,L1,L1,L1,L1,12540.942860037483,-2688.598348614559
Cell_601,481,5183.156844922487,-2704.9157703378282,L6,L6,L6,L6,5183.156844922487,-2704.9157703378282
Cell_602,451,5835.864819391135,-2696.002208317998,L5,L5,L5,L5,5835.864819391135,-2696.002208317998
Cell_603,265,9499.308780891895,-2715.613074692807,L2/3,L2/3,L2/3,L2/3,9499.308780891895,-2715.613074692807
Cell_604,417,1302.519166019166,-2723.030044030044,CC,CC,CC,CC,1302.519166019166,-2723.030044030044
Cell_605,304,9599.84628111604,-2713.125517033917,L2/3,L2/3,L2/3,L2/3,9599.84628111604,-2713.125517033917
Cell_606,423,12245.15578396733,-2707.899738448125,L1,L1,L1,L1,12245.15578396733,-2707.899738448125
Cell_607,462,13766.040384044343,-2718.9851034346234,L1,L1,L1,L1,13766.040384044343,-2718.9851034346234
Cell_609,362,13659.665962099123,-2725.6951166180756,L1,L1,L1,L1,13659.665962099123,-2725.6951166180756
Cell_610,341,7883.186997767856,-2720.1506138392856,L4,L4,L4,L4,7883.186997767856,-2720.1506138392856
Cell_611,584,9169.415213523132,-2727.0021352313165,L4,L4,L4,L4,9169.415213523132,-2727.0021352313165
Cell_612,272,12035.212904248574,-2730.176918199112,L2/3,L2/3,L2/3,L2/3,12035.212904248574,-2730.176918199112
Cell_613,569,10107.571923343341,-2753.158816285693,L2/3,L2/3,L2/3,L2/3,10107.571923343341,-2753.158816285693
Cell_614,506,7146.9185265936085,-2762.6715244707093,L5,L5,L5,L5,7146.9185265936085,-2762.6715244707093
Cell_615,767,4501.69393366558,-2749.463000515553,L6,L6,L6,L6,4501.69393366558,-2749.463000515553
Cell_616,292,13152.812285427559,-2755.9526752231554,L1,L1,L1,L1,13152.812285427559,-2755.9526752231554
Cell_617,308,8902.434525080043,-2774.296157950907,L4,L4,L4,L4,8902.434525080043,-2774.296157950907
Cell_618,430,11024.439561519934,-2761.817234429533,L2/3,L2/3,L2/3,L2/3,11024.439561519934,-2761.817234429533
Cell_619,241,4278.245867313202,-2773.760800088164,L6,L6,L6,L6,4278.245867313202,-2773.760800088164
Cell_620,255,6125.4983915167395,-2756.5185273442157,L5,L5,L5,L5,6125.4983915167395,-2756.5185273442157
Cell_621,639,3308.4597887615632,-2755.24485710341,L6,L6,L6,L6,3308.4597887615632,-2755.24485710341
Cell_622,451,7457.7196646774655,-2762.8004167850713,L4,L4,L4,L4,7457.7196646774655,-2762.8004167850713
Cell_623,718,9888.003608516095,-2774.2351148710964,L2/3,L2/3,L2/3,L2/3,9888.003608516095,-2774.2351148710964
Cell_625,820,10876.802909497832,-2805.5304238355016,L2/3,L2/3,L2/3,L2/3,10876.802909497832,-2805.5304238355016
Cell_626,703,12590.237799290864,-2814.2448109637066,L1,L1,L1,L1,12590.237799290864,-2814.2448109637066
Cell_627,669,7895.625663589843,-2823.6213592233007,L4,L4,L4,L4,7895.625663589843,-2823.6213592233007
Cell_628,438,8243.272920669777,-2836.964486686797,L4,L4,L4,L4,8243.272920669777,-2836.964486686797
Cell_629,211,5898.841770908376,-2819.3095815050106,L5,L5,L5,L5,5898.841770908376,-2819.3095815050106
Cell_630,333,6639.1051018568605,-2828.540111772129,L5,L5,L5,L5,6639.1051018568605,-2828.540111772129
Cell_631,209,2876.790802927865,-2823.883220651506,CC,CC,CC,CC,2876.790802927865,-2823.883220651506
Cell_632,751,11668.687449478086,-2821.1651846905424,L2/3,L2/3,L2/3,L2/3,11668.687449478086,-2821.1651846905424
Cell_633,232,6494.381793245329,-2835.134236242071,L5,L5,L5,L5,6494.381793245329,-2835.134236242071
Cell_634,291,2423.914653383147,-2856.5571606475714,CC,CC,CC,CC,2423.914653383147,-2856.5571606475714
Cell_635,246,3480.760387252925,-2841.6495562726905,L6,L6,L6,L6,3480.760387252925,-2841.6495562726905
Cell_637,207,6720.130916154096,-2835.816769180965,L5,L5,L5,L5,6720.130916154096,-2835.816769180965
Cell_638,647,7023.0975683496745,-2851.6259663974433,L5,L5,L5,L5,7023.0975683496745,-2851.6259663974433
Cell_639,769,10540.23349022964,-2860.314113535873,L2/3,L2/3,L2/3,L2/3,10540.23349022964,-2860.314113535873
Cell_640,412,13118.952590959208,-2869.3089104941364,L1,L1,L1,L1,13118.952590959208,-2869.3089104941364
Cell_642,497,10007.907065706573,-2862.7769464446446,L2/3,L2/3,L2/3,L2/3,10007.907065706573,-2862.7769464446446
Cell_643,682,11886.481489820206,-2864.1912772184883,L2/3,L2/3,L2/3,L2/3,11886.481489820206,-2864.1912772184883
Cell_644,658,9342.740478397924,-2883.394956424995,L4,L4,L4,L4,9342.740478397924,-2883.394956424995
Cell_646,647,11330.104060473665,-2889.416553972052,L2/3,L2/3,L2/3,L2/3,11330.104060473665,-2889.416553972052
Cell_647,468,153.16978417266188,-2884.2093525179853,HPC,HPC,HPC,HPC,153.16978417266188,-2884.2093525179853
Cell_648,622,8815.986072423399,-2901.769071794411,L4,L4,L4,L4,8815.986072423399,-2901.769071794411
Cell_649,483,9542.045269286757,-2895.484958757885,L2/3,L2/3,L2/3,L2/3,9542.045269286757,-2895.484958757885
Cell_651,310,3882.5834255502273,-2913.0630148776595,L6,L6,L6,L6,3882.5834255502273,-2913.0630148776595
Cell_652,265,2398.603375896449,-2948.421199930033,CC,CC,CC,CC,2398.603375896449,-2948.421199930033
Cell_653,413,8501.546103025661,-2934.131654538491,L4,L4,L4,L4,8501.546103025661,-2934.131654538491
Cell_654,391,12926.02696931718,-2967.2590168500205,L1,L1,L1,L1,12926.02696931718,-2967.2590168500205
Cell_655,428,3129.341524757663,-2963.4027246528685,CC,CC,CC,CC,3129.341524757663,-2963.4027246528685
Cell_656,663,788.2033155847589,-2940.752010875722,HPC,HPC,HPC,HPC,788.2033155847589,-2940.752010875722
Cell_657,374,629.8147021999642,-2968.1242622071186,HPC,HPC,HPC,HPC,629.8147021999642,-2968.1242622071186
Cell_658,383,139.79772757299511,-2972.3933148368346,HPC,HPC,HPC,HPC,139.79772757299511,-2972.3933148368346
Cell_659,267,2617.700547730829,-2972.7917057902973,CC,CC,CC,CC,2617.700547730829,-2972.7917057902973
Cell_661,256,9938.92293977813,-2987.0834653988372,L2/3,L2/3,L2/3,L2/3,9938.92293977813,-2987.0834653988372
Cell_662,504,10407.896252204586,-2975.6286596119926,L2/3,L2/3,L2/3,L2/3,10407.896252204586,-2975.6286596119926
Cell_663,301,4379.092704808373,-2990.079326355552,L6,L6,L6,L6,4379.092704808373,-2990.079326355552
Cell_664,325,10044.187956529486,-2981.734307262901,L2/3,L2/3,L2/3,L2/3,10044.187956529486,-2981.734307262901
Cell_665,355,5883.443242166755,-2986.6988847583643,L5,L5,L5,L5,5883.443242166755,-2986.6988847583643
Cell_666,640,4932.75169036061,-2986.1155079750347,L6,L6,L6,L6,4932.75169036061,-2986.1155079750347
Cell_667,340,11722.59234777574,-2967.6009842709636,L2/3,L2/3,L2/3,L2/3,11722.59234777574,-2967.6009842709636
Cell_668,1061,10839.360551282769,-3006.0455285465673,L2/3,L2/3,L2/3,L2/3,10839.360551282769,-3006.0455285465673
Cell_670,360,2835.458720524252,-3002.1064618359565,CC,CC,CC,CC,2835.458720524252,-3002.1064618359565
Cell_671,1040,11273.085073201784,-2999.802418841502,L2/3,L2/3,L2/3,L2/3,11273.085073201784,-2999.802418841502
Cell_672,416,12515.513342882912,-3001.3748739986213,L1,L1,L1,L1,12515.513342882912,-3001.3748739986213
Cell_673,360,1547.1496354458775,-3013.925911385306,CC,CC,CC,CC,1547.1496354458775,-3013.925911385306
Cell_674,367,1244.6431395397228,-3048.4453785009778,HPC,HPC,HPC,HPC,1244.6431395397228,-3048.4453785009778
Cell_675,217,13673.545295770371,-3012.4351887007365,L1,L1,L1,L1,13673.545295770371,-3012.4351887007365
Cell_677,513,3691.825081511895,-3024.4784446322906,L6,L6,L6,L6,3691.825081511895,-3024.4784446322906
Cell_678,425,9453.903776715135,-3035.8316580462565,L2/3,L2/3,L2/3,L2/3,9453.903776715135,-3035.8316580462565
Cell_679,453,8243.873990661907,-3026.989014007141,L4,L4,L4,L4,8243.873990661907,-3026.989014007141
Cell_680,239,2358.0693064577763,-3043.666459686664,CC,CC,CC,CC,2358.0693064577763,-3043.666459686664
Cell_681,382,3817.7915890338036,-3058.4465264838973,L6,L6,L6,L6,3817.7915890338036,-3058.4465264838973
Cell_682,295,8978.076134122288,-3061.6869822485205,L4,L4,L4,L4,8978.076134122288,-3061.6869822485205
Cell_683,255,9279.678230932202,-3050.1325918079096,L4,L4,L4,L4,9279.678230932202,-3050.1325918079096
Cell_684,316,10130.150963426933,-3068.4330378470195,L2/3,L2/3,L2/3,L2/3,10130.150963426933,-3068.4330378470195
Cell_685,575,12377.327016306743,-3068.518192057196,L1,L1,L1,L1,12377.327016306743,-3068.518192057196
Cell_686,358,8573.483808719773,-3067.2795031055903,L4,L4,L4,L4,8573.483808719773,-3067.2795031055903
Cell_687,325,2728.1598922338057,-3085.2604544922106,CC,CC,CC,CC,2728.1598922338057,-3085.2604544922106
Cell_688,269,9121.914787296995,-3070.5323821421525,L4,L4,L4,L4,9121.914787296995,-3070.5323821421525
Cell_689,761,752.2757794676806,-3086.247946768061,HPC,HPC,HPC,HPC,752.2757794676806,-3086.247946768061
Cell_690,377,2569.6102011293106,-3095.052125624154,CC,CC,CC,CC,2569.6102011293106,-3095.052125624154
Cell_691,769,5730.760681240093,-3076.250562170532,L5,L5,L5,L5,5730.760681240093,-3076.250562170532
Cell_692,474,5889.51979805979,-3106.5624133834885,L5,L5,L5,L5,5889.51979805979,-3106.5624133834885
Cell_693,403,3605.7832772705433,-3104.6440584883644,L6,L6,L6,L6,3605.7832772705433,-3104.6440584883644
Cell_694,265,8421.82225890769,-3087.3010042646856,L4,L4,L4,L4,8421.82225890769,-3087.3010042646856
Cell_695,343,1971.5562997986167,-3089.067375886525,CC,CC,CC,CC,1971.5562997986167,-3089.067375886525
Cell_696,309,5281.154065090954,-3111.867838138844,L6,L6,L6,L6,5281.154065090954,-3111.867838138844
Cell_697,478,12520.830922330095,-3119.364126213592,L1,L1,L1,L1,12520.830922330095,-3119.364126213592
Cell_698,207,5162.241007777056,-3109.7346079066747,L6,L6,L6,L6,5162.241007777056,-3109.7346079066747
Cell_699,434,12843.98581861413,-3102.6895380434785,L1,L1,L1,L1,12843.98581861413,-3102.6895380434785
Cell_700,469,3109.3718163044546,-3115.296882682663,CC,CC,CC,CC,3109.3718163044546,-3115.296882682663
Cell_701,587,6561.9608535794105,-3126.322110878812,L5,L5,L5,L5,6561.9608535794105,-3126.322110878812
Cell_702,305,7830.611671430883,-3152.971414702551,L4,L4,L4,L4,7830.611671430883,-3152.971414702551
Cell_703,252,964.340937256162,-3156.994675724056,HPC,HPC,HPC,HPC,964.340937256162,-3156.994675724056
Cell_705,299,8632.113784949228,-3152.7077479482537,L4,L4,L4,L4,8632.113784949228,-3152.7077479482537
Cell_706,357,10847.155834136933,-3134.1131629701063,L2/3,L2/3,L2/3,L2/3,10847.155834136933,-3134.1131629701063
Cell_709,234,10537.95958780511,-3176.676559977205,L2/3,L2/3,L2/3,L2/3,10537.95958780511,-3176.676559977205
Cell_710,280,4695.3617613200295,-3208.645961243284,L6,L6,L6,L6,4695.3617613200295,-3208.645961243284
Cell_711,306,7599.75807988909,-3194.7172255437126,L4,L4,L4,L4,7599.75807988909,-3194.7172255437126
Cell_712,229,13191.12100886918,-3199.390687361419,L1,L1,L1,L1,13191.12100886918,-3199.390687361419
Cell_714,419,3493.991927671941,-3211.808976428802,L6,L6,L6,L6,3493.991927671941,-3211.808976428802
Cell_715,221,1957.646922915354,-3218.7018133445354,CC,CC,CC,CC,1957.646922915354,-3218.7018133445354
Cell_716,253,2296.2310702272257,-3240.326354088007,CC,CC,CC,CC,2296.2310702272257,-3240.326354088007
Cell_717,340,9433.626521030948,-3237.342962537128,L4,L4,L4,L4,9433.626521030948,-3237.342962537128
Cell_720,434,4851.737790343145,-3222.5469261045514,L6,L6,L6,L6,4851.737790343145,-3222.5469261045514
Cell_721,546,3163.1275102185887,-3261.2718144659675,CC,CC,CC,CC,3163.1275102185887,-3261.2718144659675
Cell_723,721,9179.914874057731,-3251.3877918735056,L4,L4,L4,L4,9179.914874057731,-3251.3877918735056
Cell_724,862,5420.8777454780375,-3292.023158914729,L5,L5,L5,L5,5420.8777454780375,-3292.023158914729
Cell_726,495,3398.559895833333,-3276.1953125,L6,L6,L6,L6,3398.559895833333,-3276.1953125
Cell_727,256,4023.7366710306533,-3294.917972100582,L6,L6,L6,L6,4023.7366710306533,-3294.917972100582
Cell_729,434,3834.5000666933443,-3289.026277177538,L6,L6,L6,L6,3834.5000666933443,-3289.026277177538
Cell_731,591,2607.8250893921336,-3307.973513441929,CC,CC,CC,CC,2607.8250893921336,-3307.973513441929
Cell_733,534,8987.674425934263,-3300.910895992796,L4,L4,L4,L4,8987.674425934263,-3300.910895992796
Cell_736,369,4817.730285572694,-3353.1290962026887,L6,L6,L6,L6,4817.730285572694,-3353.1290962026887
Cell_738,314,12381.584829928472,-3345.110070498637,L1,L1,L1,L1,12381.584829928472,-3345.110070498637
Cell_739,287,2867.6110561353003,-3324.503643396905,CC,CC,CC,CC,2867.6110561353003,-3324.503643396905
Cell_740,521,8490.711434580016,-3372.4931343037397,L4,L4,L4,L4,8490.711434580016,-3372.4931343037397
Cell_741,312,13336.230149253734,-3368.38592750533,L1,L1,L1,L1,13336.230149253734,-3368.38592750533
Cell_742,251,3517.274737394958,-3374.0822478991595,L6,L6,L6,L6,3517.274737394958,-3374.0822478991595
Cell_743,356,8228.23807147135,-3367.2023857057293,L4,L4,L4,L4,8228.23807147135,-3367.2023857057293
Cell_744,217,2287.453808353808,-3369.241400491401,CC,CC,CC,CC,2287.453808353808,-3369.241400491401
Cell_745,476,3293.569457448381,-3367.3803281919872,L6,L6,L6,L6,3293.569457448381,-3367.3803281919872
Cell_746,254,7617.107940131913,-3355.62626839168,L4,L4,L4,L4,7617.107940131913,-3355.62626839168
Cell_747,594,6150.335023493221,-3418.905993306967,L5,L5,L5,L5,6150.335023493221,-3418.905993306967
Cell_748,802,6928.143421017059,-3400.29711535862,L5,L5,L5,L5,6928.143421017059,-3400.29711535862
Cell_749,454,1369.396909098284,-3414.7760110331396,CC,CC,CC,CC,1369.396909098284,-3414.7760110331396
Cell_750,266,7824.126729013832,-3414.1990815926533,L4,L4,L4,L4,7824.126729013832,-3414.1990815926533
Cell_751,464,13568.302459877006,-3446.259149542523,L1,L1,L1,L1,13568.302459877006,-3446.259149542523
Cell_752,361,2826.7049630060687,-3478.2824839970067,CC,CC,CC,CC,2826.7049630060687,-3478.2824839970067
Cell_753,903,10959.170543849212,-3460.281254892139,L2/3,L2/3,L2/3,L2/3,10959.170543849212,-3460.281254892139
Cell_754,306,6394.790090750239,-3460.9673637337237,L5,L5,L5,L5,6394.790090750239,-3460.9673637337237
Cell_755,644,7990.409354937328,-3482.447072760624,L4,L4,L4,L4,7990.409354937328,-3482.447072760624
Cell_756,201,2258.627073815821,-3489.1977037749457,CC,CC,CC,CC,2258.627073815821,-3489.1977037749457
Cell_758,420,7090.425116237482,-3469.077297925608,L5,L5,L5,L5,7090.425116237482,-3469.077297925608
Cell_759,381,3410.134151547492,-3543.6117395944507,L6,L6,L6,L6,3410.134151547492,-3543.6117395944507
Cell_762,902,9857.723982184305,-3496.256790665579,L2/3,L2/3,L2/3,L2/3,9857.723982184305,-3496.256790665579
Cell_763,698,9392.922944871445,-3495.693496156997,L4,L4,L4,L4,9392.922944871445,-3495.693496156997
Cell_764,399,1501.3238988068535,-3497.6942675159235,CC,CC,CC,CC,1501.3238988068535,-3497.6942675159235
Cell_765,314,8820.197089332714,-3515.3965010063475,L4,L4,L4,L4,8820.197089332714,-3515.3965010063475
Cell_766,558,4729.792425771498,-3524.964147235353,L6,L6,L6,L6,4729.792425771498,-3524.964147235353
Cell_768,594,8236.942511525276,-3519.266952992632,L4,L4,L4,L4,8236.942511525276,-3519.266952992632
Cell_769,741,12119.74165046225,-3520.751100194453,L2/3,L2/3,L2/3,L2/3,12119.74165046225,-3520.751100194453
Cell_770,287,5463.881487558107,-3538.7068635493574,L5,L5,L5,L5,5463.881487558107,-3538.7068635493574
Cell_771,273,6352.536599241466,-3533.610872313527,L5,L5,L5,L5,6352.536599241466,-3533.610872313527
Cell_772,591,8686.976694141053,-3553.2972918104674,L4,L4,L4,L4,8686.976694141053,-3553.2972918104674
Cell_773,425,7471.354924142106,-3569.817449207371,L4,L4,L4,L4,7471.354924142106,-3569.817449207371
Cell_775,509,8911.174744494785,-3555.4040670108525,L4,L4,L4,L4,8911.174744494785,-3555.4040670108525
Cell_776,290,4185.253319768687,-3567.887342043264,L6,L6,L6,L6,4185.253319768687,-3567.887342043264
Cell_777,279,7130.722304011779,-3569.7008342534664,L5,L5,L5,L5,7130.722304011779,-3569.7008342534664
Cell_778,407,11851.669934346612,-3558.2161165572443,L2/3,L2/3,L2/3,L2/3,11851.669934346612,-3558.2161165572443
Cell_779,410,11246.724559725877,-3575.227109729859,L2/3,L2/3,L2/3,L2/3,11246.724559725877,-3575.227109729859
Cell_780,375,12516.297523681887,-3568.8437452407784,L1,L1,L1,L1,12516.297523681887,-3568.8437452407784
Cell_781,321,5946.968055960361,-3618.711804138735,L5,L5,L5,L5,5946.968055960361,-3618.711804138735
Cell_782,584,3807.418459370596,-3605.9641615782057,L6,L6,L6,L6,3807.418459370596,-3605.9641615782057
Cell_783,417,1103.228938049995,-3607.852504995968,HPC,HPC,HPC,HPC,1103.228938049995,-3607.852504995968
Cell_785,875,7270.183200653195,-3609.4439001156697,L5,L5,L5,L5,7270.183200653195,-3609.4439001156697
Cell_786,231,1601.9652957247283,-3611.8314996677254,CC,CC,CC,CC,1601.9652957247283,-3611.8314996677254
Cell_787,747,4482.7217903849705,-3657.3498250138146,L6,L6,L6,L6,4482.7217903849705,-3657.3498250138146
Cell_788,894,4799.313381585592,-3636.806261572126,L6,L6,L6,L6,4799.313381585592,-3636.806261572126
Cell_789,625,738.7914231950084,-3633.9874550196423,HPC,HPC,HPC,HPC,738.7914231950084,-3633.9874550196423
Cell_790,629,7679.134628780935,-3652.242566452796,L4,L4,L4,L4,7679.134628780935,-3652.242566452796
Cell_791,425,11784.41925676884,-3671.1820522908547,L2/3,L2/3,L2/3,L2/3,11784.41925676884,-3671.1820522908547
Cell_792,597,12202.976982268316,-3657.1367346938778,L1,L1,L1,L1,12202.976982268316,-3657.1367346938778
Cell_793,254,6667.059836988934,-3653.126300443973,L5,L5,L5,L5,6667.059836988934,-3653.126300443973
Cell_794,1189,2969.7603951666233,-3621.2846321864417,CC,CC,CC,CC,2969.7603951666233,-3621.2846321864417
Cell_796,876,7952.439248280926,-3664.4177515187926,L4,L4,L4,L4,7952.439248280926,-3664.4177515187926
Cell_798,548,12375.090340514244,-3671.052660026253,L1,L1,L1,L1,12375.090340514244,-3671.052660026253
Cell_799,456,10333.018353271247,-3695.358570704906,L2/3,L2/3,L2/3,L2/3,10333.018353271247,-3695.358570704906
Cell_800,376,6525.965982224946,-3709.46648570553,L5,L5,L5,L5,6525.965982224946,-3709.46648570553
Cell_801,685,10033.637036250357,-3712.835209572359,L2/3,L2/3,L2/3,L2/3,10033.637036250357,-3712.835209572359
Cell_802,323,1651.940743165821,-3723.521471053637,CC,CC,CC,CC,1651.940743165821,-3723.521471053637
Cell_803,489,3609.479379251701,-3714.085778061225,L6,L6,L6,L6,3609.479379251701,-3714.085778061225
Cell_804,430,5773.305833552805,-3762.9867658677904,L5,L5,L5,L5,5773.305833552805,-3762.9867658677904
Cell_805,389,8453.771813626678,-3728.040718769798,L4,L4,L4,L4,8453.771813626678,-3728.040718769798
Cell_806,547,3776.402959899886,-3744.232493606834,L6,L6,L6,L6,3776.402959899886,-3744.232493606834
Cell_807,543,8712.713638080846,-3742.9891386475256,L4,L4,L4,L4,8712.713638080846,-3742.9891386475256
Cell_808,612,9047.867991290146,-3744.6459240609693,L4,L4,L4,L4,9047.867991290146,-3744.6459240609693
Cell_809,362,8203.847209245143,-3735.3488566510937,L4,L4,L4,L4,8203.847209245143,-3735.3488566510937
Cell_810,430,8582.778913420987,-3762.574696105185,L4,L4,L4,L4,8582.778913420987,-3762.574696105185
Cell_811,331,5417.186598249321,-3775.6600664050707,L5,L5,L5,L5,5417.186598249321,-3775.6600664050707
Cell_812,452,9408.94731475187,-3763.201903467029,L4,L4,L4,L4,9408.94731475187,-3763.201903467029
Cell_813,698,6032.546969509936,-3774.3969880261693,L5,L5,L5,L5,6032.546969509936,-3774.3969880261693
Cell_814,403,9550.15698034176,-3795.349040887239,L2/3,L2/3,L2/3,L2/3,9550.15698034176,-3795.349040887239
Cell_815,718,672.3368716827972,-3810.069466125508,HPC,HPC,HPC,HPC,672.3368716827972,-3810.069466125508
Cell_816,446,3902.030204126791,-3796.885821762461,L6,L6,L6,L6,3902.030204126791,-3796.885821762461
Cell_817,1183,4230.941938231095,-3809.1690504220624,L6,L6,L6,L6,4230.941938231095,-3809.1690504220624
Cell_818,496,5895.4847195357825,-3791.68051948052,L5,L5,L5,L5,5895.4847195357825,-3791.68051948052
Cell_819,553,9276.418332742824,-3811.685832869363,L4,L4,L4,L4,9276.418332742824,-3811.685832869363
Cell_820,425,3048.624989642887,-3808.400903140277,CC,CC,CC,CC,3048.624989642887,-3808.400903140277
Cell_821,287,6704.930691592503,-3811.354298215085,L5,L5,L5,L5,6704.930691592503,-3811.354298215085
Cell_822,385,12560.932523775837,-3808.8283423720814,L1,L1,L1,L1,12560.932523775837,-3808.8283423720814
Cell_823,671,10333.050259760705,-3816.2792034005042,L2/3,L2/3,L2/3,L2/3,10333.050259760705,-3816.2792034005042
Cell_824,459,1844.427432359792,-3810.702024726752,CC,CC,CC,CC,1844.427432359792,-3810.702024726752
Cell_825,349,2236.4384177030906,-3841.228692650056,CC,CC,CC,CC,2236.4384177030906,-3841.228692650056
Cell_826,288,108.01540766103146,-3832.485020329553,HPC,HPC,HPC,HPC,108.01540766103146,-3832.485020329553
Cell_827,279,1438.3206240057473,-3826.68994714425,CC,CC,CC,CC,1438.3206240057473,-3826.68994714425
Cell_828,217,8879.554695895122,-3829.4031807436068,L4,L4,L4,L4,8879.554695895122,-3829.4031807436068
Cell_829,235,3578.1234880227685,-3838.7704956913594,L6,L6,L6,L6,3578.1234880227685,-3838.7704956913594
Cell_830,364,7448.770508826585,-3819.146733486839,L4,L4,L4,L4,7448.770508826585,-3819.146733486839
Cell_831,931,10576.75194736842,-3822.1405789473683,L2/3,L2/3,L2/3,L2/3,10576.75194736842,-3822.1405789473683
Cell_833,645,6302.396338883975,-3841.6976118140215,L5,L5,L5,L5,6302.396338883975,-3841.6976118140215
Cell_834,465,12992.620841804732,-3845.9296621533936,L1,L1,L1,L1,12992.620841804732,-3845.9296621533936
Cell_836,317,2725.083333333333,-3874.883493418712,CC,CC,CC,CC,2725.083333333333,-3874.883493418712
Cell_837,492,3774.1186925434117,-3865.1095675859724,L6,L6,L6,L6,3774.1186925434117,-3865.1095675859724
Cell_838,251,4009.7132095420598,-3865.1050023128255,L6,L6,L6,L6,4009.7132095420598,-3865.1050023128255
Cell_839,692,10959.01313668846,-3894.057625057017,L2/3,L2/3,L2/3,L2/3,10959.01313668846,-3894.057625057017
Cell_841,1156,9777.324634356179,-3914.9215989058257,L2/3,L2/3,L2/3,L2/3,9777.324634356179,-3914.9215989058257
Cell_842,372,12823.947593435389,-3842.2632280604976,L1,L1,L1,L1,12823.947593435389,-3842.2632280604976
Cell_843,441,1749.1158090305146,-3885.929343542394,CC,CC,CC,CC,1749.1158090305146,-3885.929343542394
Cell_844,283,3282.649566803465,-3904.619699042408,L6,L6,L6,L6,3282.649566803465,-3904.619699042408
Cell_845,265,5861.074998143609,-3897.4433801143537,L5,L5,L5,L5,5861.074998143609,-3897.4433801143537
Cell_846,423,7759.2774593410695,-3892.388741320658,L4,L4,L4,L4,7759.2774593410695,-3892.388741320658
Cell_847,343,1063.2117562466294,-3894.467433638924,HPC,HPC,HPC,HPC,1063.2117562466294,-3894.467433638924
Cell_848,788,11682.884092443188,-3914.266658095207,L2/3,L2/3,L2/3,L2/3,11682.884092443188,-3914.266658095207
Cell_849,356,6156.49393147399,-3933.7135798933086,L5,L5,L5,L5,6156.49393147399,-3933.7135798933086
Cell_851,211,7133.851342953809,-3923.460747082787,L5,L5,L5,L5,7133.851342953809,-3923.460747082787
Cell_852,605,13123.788228652082,-3866.35525758645,L1,L1,L1,L1,13123.788228652082,-3866.35525758645
Cell_853,557,5178.46541359105,-3925.994064378662,L6,L6,L6,L6,5178.46541359105,-3925.994064378662
Cell_854,616,7322.985408943923,-3939.7301837684363,L5,L5,L5,L5,7322.985408943923,-3939.7301837684363
Cell_855,662,8919.350394226914,-3961.0973317296985,L4,L4,L4,L4,8919.350394226914,-3961.0973317296985
Cell_856,225,3863.6654873220455,-3937.3167382697334,L6,L6,L6,L6,3863.6654873220455,-3937.3167382697334
Cell_857,622,8513.791838161062,-3981.2533587015614,L4,L4,L4,L4,8513.791838161062,-3981.2533587015614
Cell_858,356,12887.398082629536,-3975.5589134900706,L1,L1,L1,L1,12887.398082629536,-3975.5589134900706
Cell_859,229,782.4121625974361,-3939.2093023255816,HPC,HPC,HPC,HPC,782.4121625974361,-3939.2093023255816
Cell_860,703,12078.410949241746,-3982.0589511950297,L2/3,L2/3,L2/3,L2/3,12078.410949241746,-3982.0589511950297
Cell_861,700,7935.386518546414,-3958.638109583881,L4,L4,L4,L4,7935.386518546414,-3958.638109583881
